Pos.,Equipo,Pts.,PJ,G,E,P,GF,GC,Dif.,Clasificación 2025-26
1,F. C. Barcelona,88,38,28,4,6,102,39,+63,Fase de liga de Liga de Campeones[a]​
2,Real Madrid C. F.,84,38,26,6,6,78,38,+40,Fase de liga de Liga de Campeones[a]​
3,Atlético de Madrid,76,38,22,10,6,68,30,+38,Fase de liga de Liga de Campeones[a]​
4,Athletic Club,70,38,19,13,6,54,29,+25,Fase de liga de Liga de Campeones[a]​
5,Villarreal C. F.,70,38,20,10,8,71,51,+20,Fase de liga de Liga de Campeones[a]​
6,Real Betis Balompié,60,38,16,12,10,57,50,+7,Fase de liga de Liga Europa[b]​
7,R. C. Celta de Vigo,55,38,16,7,15,59,57,+2,Fase de liga de Liga Europa[b]​
8,Rayo Vallecano,52,38,13,13,12,41,45,−4,Ronda de play-off de Liga Conferencia
9,C. A. Osasuna,52,38,12,16,10,48,52,−4,
10,R. C. D. Mallorca,48,38,13,9,16,35,44,−9,
11,Real Sociedad,46,38,13,7,18,35,46,−11,
12,Valencia C. F.,46,38,11,13,14,44,54,−10,
13,Getafe C. F.,42,38,11,9,18,34,39,−5,
14,R. C. D. Espanyol,42,38,11,9,18,40,51,−11,
15,Deportivo Alavés,42,38,10,12,16,38,48,−10,
16,Girona F. C.,41,38,11,8,19,44,60,−16,
17,Sevilla F. C.,41,38,10,11,17,42,55,−13,
18,C. D. Leganés,40,38,9,13,16,39,56,−17,Descenso a Segunda División
19,U. D. Las Palmas,32,38,8,8,22,40,61,−21,Descenso a Segunda División
20,Real Valladolid C. F.,16,38,4,4,30,26,90,−64,Descenso a Segunda División
